Symbol,ShortName,IndustryName,PROVINCE,CITY,MAINBUSSINESS,Validated_Symbol
002250,联化科技,化学原料及化学制品制造业,浙江省,台州市,精细化学高级中间体研发、生产和销售。,002250.SZ
002251,步步高,零售业,湖南省,湘潭市,商品零售业务。,002251.SZ
002252,上海莱士,医药制造业,上海市,上海市,血液制品的研发、生产和销售。主要产品为人血白蛋白、静注射人免疫球蛋白、凝血因子产品等。,002252.SZ
002253,川大智胜,软件和信息技术服务业,四川省,成都市,供应空中交通管理领域的大型软件和重大装备,002253.SZ
002254,泰和新材,化学纤维制造业,山东省,烟台市,氨纶纤维、芳纶纤维系列产品的开发、制造和销售,002254.SZ
002255,海陆重工,通用设备制造业,江苏省,张家港市,余热锅炉及其配套产品、核承压设备的设计、制造与销售,002255.SZ
002256,兆新股份,电力、热力生产和供应业,广东省,深圳市,气雾剂系列产品的技术开发、生产与销售。,002256.SZ
002258,利尔化学,化学原料及化学制品制造业,四川省,绵阳市,主要从事农药原药及制剂的研发、生产和销售,002258.SZ
002259,ST 升达,燃气生产和供应业,四川省,成都市,木地板生产与销售。,002259.SZ
002260,*ST 德奥,电气机械及器材制造业,广东省,佛山市,电饭煲、电烤炉、电压力锅等厨房及家用小电器产品研发、生产和营销服务。,
002261,拓维信息,软件和信息技术服务业,湖南省,长沙市,提供行业软件开发及无线增值服务。,002261.SZ
002262,恩华药业,医药制造业,江苏省,徐州市,中枢神经药物制剂及原料药的生产和销售、医药商业。,002262.SZ
002263,大东南,橡胶和塑料制品业,浙江省,诸暨市,各种塑料包装薄膜的生产及销售。,002263.SZ
002264,新华都,零售业,福建省,厦门市,大卖场、综合超市及百货的连锁经营。,002264.SZ
002265,建设工业,汽车制造业,云南省,昆明市,主要生产、经营汽车发动机连杆系列产品、其他工业产品和机床零部件及其他机械产品。,002265.SZ
002266,浙富控股,生态保护和环境治理业,浙江省,杭州市,成套水轮发电机组的研制、生产及销售。,002266.SZ
002267,陕天然气,燃气生产和供应业,陕西省,西安市,天然气长输管道的建设与运营。,002267.SZ
002268,电科网安,软件和信息技术服务业,四川省,成都市,提供以密码技术为核心的信息安全产品和系统，提供安全集成和安全服务,002268.SZ
002269,美邦服饰,纺织服装、服饰业,上海市,上海市,美特斯邦威品牌系列休闲服的设计及销售,002269.SZ
002270,华明装备,电气机械及器材制造业,山东省,济南市,钢结构数控成套加工设备的研发、制造、销售。,002270.SZ
002271,东方雨虹,非金属矿物制品业,北京市,北京市,新型建筑防水材料的研发、生产、销售及防水工程施工业务。,002271.SZ
002272,川润股份,通用设备制造业,四川省,自贡市,润滑液压设备及其集成系统和锅炉部件、压力容器的研发、生产和销售。,002272.SZ
002273,水晶光电,计算机、通信和其他电子设备制造业,浙江省,台州市,光学光电子元器件的研发、生产和销售。,002273.SZ
002274,华昌化工,化学原料及化学制品制造业,江苏省,张家港市,主要从事基础化工业务，为农业生产、玻璃行业、精细化工行业提供产品。,002274.SZ
002275,桂林三金,医药制造业,广西壮族自治区,桂林市,主要从事咽喉口腔用药系列、抗泌尿系感染用药系列及心脑血管用药系列中成药产品的研究、生产与销售，以及其他天然药物和生物制剂等的研究开发。,002275.SZ
002276,万马股份,电气机械及器材制造业,浙江省,临安市,电力电缆的研发、生产、销售。,002276.SZ
002277,友阿股份,零售业,湖南省,长沙市,公司目前主要从事百货零售业务。,002277.SZ
002278,神开股份,专用设备制造业,上海市,上海市,主要从事综合录井仪、钻井仪表、防喷器和防喷器控制装置、井口装置和采油（气）树、石油产品规格分析仪器的生产、销售以及与上述产品相关的技术服务。,002278.SZ
002279,久其软件,软件和信息技术服务业,北京市,北京市,报表管理软件、电子政务软件、ERP 软件、商业智能软件等管理软件的研究和开发，为政府部门、企事业单位提供财务决算、统计及决策分析、财务业务一体化管理、全面预算管理、合并报表、关联交易核对、资产管理等方面的解决方案。,002279.SZ
002280,联络互动,零售业,浙江省,杭州市,应用软件开发与销售、系统集成及技术支持与服务。,
002281,光迅科技,计算机、通信和其他电子设备制造业,湖北省,武汉市,信息技术领域光电器件技术及产品的研制、生产、销售和相关技术服务。,002281.SZ
002282,博深股份,通用设备制造业,河北省,石家庄市,金刚石工具、小型建筑施工机具、合金工具的生产和销售。,002282.SZ
002283,天润工业,汽车制造业,山东省,威海市,汽车发动机核心零部件曲轴的生产与销售。,002283.SZ
002284,亚太股份,汽车制造业,浙江省,杭州市,汽车制动系统的科研开发、制造、销售、技术服务及进出口业务。,002284.SZ
002285,世联行,房地产业,广东省,深圳市,房地产顾问策划、代理销售和经纪业务。,002285.SZ
002286,保龄宝,农副食品加工业,山东省,禹城市,以农副产品为原料经生物工程深加工生产、销售低聚糖、果葡糖浆、赤藓糖醇等产品。,002286.SZ
002287,奇正藏药,医药制造业,西藏自治区,林芝市,藏药的研发、生产和销售，包括外用止痛药物、口服药等。,002287.SZ
002288,超华科技,计算机、通信和其他电子设备制造业,广东省,梅州市,覆铜箔板、印制电路板及其上游相关产品电解铜箔、专用木浆纸的研发、生产和销售。,
002289,宇顺电子,计算机、通信和其他电子设备制造业,广东省,深圳市,TN/STN 面板及模组产品和中小尺寸TFT 模组产品的研发、生产与销售。,002289.SZ
002290,禾盛新材,电气机械及器材制造业,江苏省,苏州市,家电用外观部件复合材料的研发、生产和销售。,002290.SZ
